taxa	taxid	superkingdom	clade	kingdom	family	genus
Orthobunyavirus acaraense	2170053	Viruses	Riboviria	Orthornavirae	Peribunyaviridae	Orthobunyavirus
Tenuivirus oryzaclavatae	3052763	Viruses	Riboviria	Orthornavirae	Phenuiviridae	Tenuivirus
Chakrabartyvirus pf16	2560689	Viruses	Duplodnaviria	Heunggongvirae	NA	Chakrabartyvirus
Alphabaculovirus anpernyi	3047366	Viruses	NA	NA	Baculoviridae	Alphabaculovirus
Enterococcus sp. ZQ21	3044568	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus sp. M190262	2582830	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Bacillus sp. SYJ	2529386	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Thermoanaerobacter brockii	29323	Bacteria	Terrabacteria group	NA	Thermoanaerobacteraceae	Thermoanaerobacter
Rhodococcus sp. WB1	1033922	Bacteria	Terrabacteria group	NA	Nocardiaceae	Rhodococcus
Synechococcus sp. M16.1	1442553	Bacteria	Terrabacteria group	NA	Synechococcaceae	Synechococcus
Nitratiruptor tergarcus	269259	Bacteria	NA	NA	Nitratiruptoraceae	Nitratiruptor
Acetobacter oryzifermentans	1633874	Bacteria	NA	NA	Acetobacteraceae	Acetobacter
Halocatena salina	2934340	Archaea	Stenosarchaea group	NA	Haloarculaceae	Halocatena
Infirmifilum uzonense	1550241	Archaea	TACK group	NA	Thermofilaceae	Thermofilum
Pyrobaculum calidifontis	181486	Archaea	TACK group	NA	Thermoproteaceae	Pyrobaculum
Candidatus Nitrosopumilus sp. SW	2508726	Archaea	TACK group	NA	Nitrosopumilaceae	Nitrosopumilus
Emaravirus toordali	1980430	Viruses	Riboviria	Orthornavirae	Fimoviridae	Emaravirus
Orthotospovirus tomatoflavi	3052584	Viruses	Riboviria	Orthornavirae	Tospoviridae	Orthotospovirus
Rothia phage Spartoi	2483661	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Brevibacillus phage Sundance	1691958	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Wotdevirus murinus	2956698	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Wotdevirus
Oneupvirus oneup	1982560	Viruses	Duplodnaviria	Heunggongvirae	NA	Oneupvirus
Alphabaculovirus heleucae	3051417	Viruses	NA	NA	Baculoviridae	Alphabaculovirus
Alphabaculovirus sujujubae	3048345	Viruses	NA	NA	Baculoviridae	Alphabaculovirus
Tomato leaf curl Anand alphasatellite	2601256	Viruses	NA	NA	Alphasatellitidae	Clecrusatellite
Bacillus phage vB_BanS_Skywalker	2894789	Viruses	Duplodnaviria	Heunggongvirae	NA	Tsamsavirus
Arthrobacter phage Richie	2419967	Viruses	Duplodnaviria	Heunggongvirae	NA	Richievirus
Lessievirus DC1	1136535	Viruses	Duplodnaviria	Heunggongvirae	NA	Lessievirus
Sukuvirus RSPII1	2733596	Viruses	Duplodnaviria	Heunggongvirae	Autographiviridae	Sukuvirus
Honeysuckle yellow vein mosaic disease associated satellite DNA beta	417192	Viruses	NA	NA	Tolecusatellitidae	Betasatellite
Gossypium darwinii symptomless alphasatellite	656025	Viruses	NA	NA	Alphasatellitidae	Colecusatellite
Klebsiella sp. CTHL.F3a	2873296	Bacteria	NA	NA	Enterobacteriaceae	Klebsiella
Minwuia sp. IMCC3077	3040676	Bacteria	NA	NA	Minwuiaceae	Minwuia
Bacillus phage vB_BanS_Nate	2894788	Viruses	Duplodnaviria	Heunggongvirae	NA	Natevirus
Ectromelia virus	12643	Viruses	Varidnaviria	Bamfordvirae	Poxviridae	Orthopoxvirus
Duck faeces associated circular DNA virus 1	1843768	Viruses	NA	NA	NA	NA
Bradyrhizobium sp. ISRA464	2866200	Bacteria	NA	NA	Nitrobacteraceae	Bradyrhizobium
Pahexavirus PHL301M00	1982301	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Tequatrovirus ufvareg1	2844181	Viruses	Duplodnaviria	Heunggongvirae	Straboviridae	Tequatrovirus
Enterococcus sp. FDAARGOS_553	2420313	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Algoriphagus sp. TR-M9	3015169	Bacteria	FCB group	NA	Cyclobacteriaceae	Algoriphagus
Shewanella alkalitolerans	2864209	Bacteria	NA	NA	Shewanellaceae	Shewanella
Picornavirales Bu-3	1813613	Viruses	Riboviria	Orthornavirae	NA	NA
Streptococcus phage CHPC931	2365052	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Brussowvirus
Streptococcus phage SpGS-1	1897555	Viruses	Duplodnaviria	Heunggongvirae	NA	Paclarkvirus
Streptococcus phage TP-J34	73422	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Brussowvirus
Streptococcus phage CHPC1041	2365015	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Moineauvirus
Acajnonavirus acj9	2843630	Viruses	Duplodnaviria	Heunggongvirae	Straboviridae	Acajnonavirus
Priunavirus PSTCR5	2956338	Viruses	Duplodnaviria	Heunggongvirae	Demerecviridae	Priunavirus
Chopinvirus KSY1	388452	Viruses	Duplodnaviria	Heunggongvirae	NA	Chopinvirus
Tobacco mild green mosaic virus	12241	Viruses	Riboviria	Orthornavirae	Virgaviridae	Tobamovirus
Ndumu virus	59302	Viruses	Riboviria	Orthornavirae	Togaviridae	Alphavirus
Eilat virus	1231903	Viruses	Riboviria	Orthornavirae	Togaviridae	Alphavirus
Turtle grass virus X	2292642	Viruses	Riboviria	Orthornavirae	Alphaflexiviridae	Potexvirus
Wenling crustacean virus 3	1923486	Viruses	Riboviria	NA	NA	NA
